string,occurance,result,prob
'0',6671,p(1|0),0.0773512049377473
'1',827,p(1|1),0.37596167472645187
'00',6154,p(1|00),0.06711132141128663
'01',516,p(1|01),0.3062420850327677
'10',516,p(1|10),0.19954136231160435
'11',311,p(1|11),0.49184962577069685
'000',5740,p(1|000),0.05435606734777335
'001',413,p(1|001),0.2639532364517537
'010',358,p(1|010),0.1676245113276402
'011',158,p(1|011),0.43681335999830195
'100',413,p(1|100),0.2444232600929673
'101',103,p(1|101),0.4752359402275879
'110',158,p(1|110),0.2720142919058337
'111',153,p(1|111),0.5489077292089446
'0000',5427,p(1|0000),0.04643493206939073
'0001',312,p(1|0001),0.2596195516200305
'0010',304,p(1|0010),0.17762171328753956
'0011',109,p(1|0011),0.39461156457456076
'0100',298,p(1|0100),0.238261236936064
'0101',60,p(1|0101),0.40037430816033626
'0110',89,p(1|0110),0.29206723726284156
'0111',69,p(1|0111),0.5940068155665611
'1000',312,p(1|1000),0.1921751739359729
'1001',101,p(1|1001),0.27718841037448694
'1010',54,p(1|1010),0.11142333984158918
'1011',49,p(1|1011),0.530041460608509
'1100',115,p(1|1100),0.2608267734434336
'1101',43,p(1|1101),0.5806598333041173
'1110',69,p(1|1110),0.2464877963574567
'1111',84,p(1|1111),0.5120364450624281
'00000',5174,p(1|00000),0.041747469315582944
'00001',252,p(1|00001),0.2579385091775109
'00010',231,p(1|00010),0.10831511679198556
'00011',81,p(1|00011),0.35815969827026284
'00100',250,p(1|00100),0.21602668146656337
'00101',54,p(1|00101),0.37053613798246965
'00110',66,p(1|00110),0.28789774013844427
'00111',43,p(1|00111),0.5352933497614312
'01000',227,p(1|01000),0.11903938650321509
'01001',71,p(1|01001),0.2816711994826416
'01010',36,p(1|01010),0.05601727278105997
'01011',24,p(1|01011),0.5003708822297347
'01100',63,p(1|01100),0.1908096055613433
'01101',26,p(1|01101),0.3488288193913017
'01110',28,p(1|01110),0.28529845720520275
'01111',41,p(1|01111),0.4395547441529959
'10000',252,p(1|10000),0.14274249100127157
'10001',60,p(1|10001),0.2666316063928028
'10010',73,p(1|10010),0.3963613439834415
'10011',28,p(1|10011),0.49888280810503066
'10100',48,p(1|10100),0.3534467571652344
'10101',6,p(1|10101),0.6539860781663652
'10110',23,p(1|10110),0.30418970691754726
'10111',26,p(1|10111),0.6911863895311775
'11000',85,p(1|11000),0.38754575090481586
'11001',30,p(1|11001),0.2667708423469421
'11010',18,p(1|11010),0.22040584710122824
'11011',25,p(1|11011),0.5596447604024725
'11100',52,p(1|11100),0.34566439831803114
